,text,new_label
48,একজন মুসলিম হয়ে এরকম কয়েকটা কথা পারেনঃ১ বিশ্বাস প্রমাণ লাগে বিশ্বাস ঈমান লাগে ২ দেখি যেটার অস্তিত্ব তারপরেও স্বীকার পরমানু ধরনের পার্টিকেল যেগুলো চোখে দেখি অস্তিত্ত্ব স্বীকার এগুলো এভিডেনা প্রমাণিত তাপ দেখি অনুভব দেখেন বিশ্বাস কথাটা ভুল যুক্তি বিচারে শক্ত ৩ আরেকটা চুপ থাকতে আল্লাহর হেদায়াতের দোয়া আচ্ছা একজন ঈমানদার বান্দা হিসেবে একটু দেখিঃ১ গালি গালি ইসলামে নিষিদ্ধ ২ ধর্ষণ হুমকি ধর্ষণ ইসলামে নিষিদ্ধ ৩ অঙ্গ প্রত্যঙ্গে গরম রড প্রবেশ করাতে চাইতে ইসলামে অত্যাচার নিষিদ্ধ ৪ গুপ্তাঙ্গ চাইতে আলেমদের ব্যাখ্যা যায় ইসলামে স্ত্রীর গুপ্তাঙ্গ দেখারও অনুম,bully
49,একজন জিজ্ঞাসা করলসাফা কবির মেয়ে তুই বিশ্বাস করসআমি বললাম দেখি বিশ্বাস মাথা লম্বা চুলে ভরাট বুকে বড় ইয়ে মেয়েলি স্বভাব বিশ্বাস আছেআমি বন্ধুকে বললাম পুরুষই লম্বা চুল রাখে বুকের জিনিস মেয়েলি স্বভাব এগুলো হরমোন সমস্যা কারনে হিজড়া তুই কখন বিশ্বাস করবি মেয়েউত্তর দিলাম দেখলে,bully
50,তুই হোগা মারা খা খানকি,bully
51,ওরে মাইরা ফেলা তোরা কই,bully
52,আল্লাহর ক্ষমা চেয়েছেনসুতরাং উনাকে বাজে মন্তব্য ট্রল বিরত থাকি ক্ষমা মালিক একমাত্র আল্লাহ,bully
53,ক্ষমা চাইছে বুঝো নানিজের ফেসবুক হ্যাক হইছে ফলোয়ার কমে হুমকি দিচ্ছে মানুষ এইসব ট্রিক্স চেয়ে ভাল জানে ভাতিজা,bully
54,কমেট কুজে পাচ্চিনাফেইসবুক মুমিনদের কমেটের মাঝেসবাই সাফা কবিরাকে দিনের পথে আচুন,bully
55,ভুল থাকি মানে এখনো শিওর ভুল কিনা ফেসবুকের বিচার চেয়ে শাহবাগে দারান কারন জাতীয় অপরাধ হা হা হা,bully
56,হে মেয়ে শুন তোর জম্ম তুই দেখেছিস তোর জম্ম তোর বাপের কুত্তার হয়েছে তুই জানিস,bully
57,আল্লাহর ক্ষমা হয়তো পেতে বঙ্গবাসি ফেসবুকজীবি মুমিনের ক্ষমা পেতে এতো সহজে চিড়া ভিজবে,bully
58,সাফা কবিরের ফেসবুক পেজ গণহারে রিপোর্ট ভেরিফাইড পেইজ তারপরও ধর্ম সম্পর্কে সঠিক তথ্য জেনে ভুল বিশ্বাসীরা দেশ জাতির শত্রু,bully
59,আপাতত প্রশ্ন করলাম পেলে প্রশ্ন করব ১ আল্লাহ পরম দয়ালু ক্ষমাশীল আল্লাহ নিশ্চয়ই ক্ষমা কথাটা কই পাইলেন নিশ্চয়ই কুরআন কুরআনে মানবজাতির সতর্কতা উপদেশ লেখা সবকিছুর আল্লাহ ক্ষমাশীল বিশ্বাস কেন২ কারো বিশ্বাসে আঘাত দেয়ার কথাটা বলিনি পরকালে বিশ্বাস ব্যাপার আঘাত পাবে চাচ্ছিলেন সৃষ্টি সমাজে অশান্তি সৃষ্টি ৩ জনগণের ক্ষমা লাভ জনগণের সাথে অপরাধ আল্লাহর সাথে জনগণের সাথে ক্ষমা চাওয়ার মানে ৪ ফেসবুক হ্যাক ফেসবুক হ্যাক কখনো ধরনের কথা শুনেনি লেখাপড়া করিনি আমাদেরকে বিস্তারিত বুঝিয়ে বলবেন হ্যাক কাকে ফেসবুক কাকে এক ৫ জনপ্রিয়তা অর্জন রুপের অহংকারে টাকার অহংকার উল্টো পাল্টা আচরণ জনগণ আপনাকে দেবীর মত পুজো আশা পাবলিক রিয়েকশান স্বাভাবিক অপর,bully
60,আবারও গোয়ারতুমি আরে ভুল থাকি মানে মানে ভুল সোজাসুজি স্বীকার পরকালে বিশ্বাস মুখে আল্লাহর পবিত্র নাম মানায় পরকালে বিশ্বাস আল্লাহ আল্লাহ মুখে ফেনা ফেলছে অভিনয়ই জানে,bully
61,এখনো স্বীকার ভুল ফেজবুকের মহান আল্লাহর বিচার আল্লাহ আপনাকে হেদায়েত করুন আমিন,bully
62,প্রত্যেক টা ছবিই অর্ধেক ন্যাংটাভালা ছবি,bully
63,আসিব গোপনে,bully
64,আস্ত একটা খানকি,bully
65,খানকির পোলা গুলো ফকিন্নী ভাইরাল করলো,bully
66,সাহসী চোদা আলম,bully
67,মিথ্যাবাদী মহিলা বেহায়া নিলজ্জ লোভী কতটা কথা যায় আবুল বারাকাত গং দের উস্কানী মুল্ক গবেষনার ফলাফল,bully
68,খবর পাইলাম জনি সিন্স জাস্ট ফ্রেন্ড,bully
69,বাংলাদেশী মিয়া খলিফা,bully
70,তোর পুরা পরিবারকে পাটক্ষেতে নিয়া দিশাউয়্যা কবির মুরগি কবির,bully
71,এইসব অসভ্য বেশ্যারা তামসা পাইছে কথায় কথায় শাকিব খানকে মান সন্মানের ভয় দেখায় মহিলা চাইলে তারে কিছুতেই বানানো যাবেনা বাংলাদেশে সহজলভ্য শাকিব খানের রা করেনা এক ডজন অবৈধ থাকলেও রা শাকিব খানকে,bully
72,ব্রেকিং নিউজ দারুন খবর ফেইসবুকের অলস সময়কে লাগান ২ মিনিটে আয় করুন ৫০০ টাকা নাম পেতে ৫০০ টাকা মোবাইল রিচার্জ যেকোন সিমে বিশ্বাস হলেলিংকটিতে প্রবেশ দেখুন নির্দেশ মত করুন এইমাত্র ২০০ টাকা পেলাম পেপাল ফেইসবুক অনুমোদিত,bully
73,তোর মত মূর্খ্য জানোয়ারের চিন্তা ভুল জানোয়ার তোর জন্ম পরিচয় তুই বিশ্বাস করো কারন তোরে জন্ম দিছে তোর জন্মের সময় দেখছিস দেখিস তোর কথা অনুযায়ী তোর জন্ম পরিচয় তুই একটা জারজ,bully
74,নগ্ন খুলে দিলেও এমনিতেই কতা কন কিনা,bully
75,জানালা খোলা,bully
76,আসলে পোস্টকারী বুঝাতে চেয়েছিলেন স্বামী স্ত্রীর ভিতর কথোপকথন শুনা খারাপ কথার ভিতর অশালীন কিছুও,bully
77,নিশ্চই আল্লাহ মনের অবস্থার কথা জানেন পালাবার অবকাশ ভুলগুলো সুধরে নেক আমল নিশ্চই আল্লাহ সবকিছু যানেনসবকিছুই বুঝেন পরাক্রমশালী প্রজ্ঞাময়,bully
78,হিরো আলম খানকির পোলাদের বাংলা ছবির খারাপ অবস্থা,bully
79,খানকির ছাওয়াল হিরো আলম খাইছি তোরে যাবি কই,bully
80,মাগির পোলা করলি,bully
81,চোরের মার বড় গলা বাহ্ চমৎকার মাগী অাবার পাপের ব্যাক্ষা দেয় সরকারের অাস্কারা,bully
82,তোর হুগায় দিমু আগুন খানকি মাগী,bully
83,হুম টা এগিয়েছেন অশ্লীল পোষাক মেকাপ বুক নাভি দেখিয়ে এখোন ভিডিও বের সানি লিওনমিয়া খলিফাদের লিস্টে থাকতে পারবেন,bully
84,পরকালে বিশ্বাস করলো করলোনা একান্ত ব্যক্তিগত বিষয় স্বাধীনতা ধর্মে বিশ্বাস করলো করলো অন্যের মাথা ব্যথা থাকার কথা কারো মাথায় বাজও পড়ার কথা দোজখে লোক সমালোচনা ভালমন্দ চিন্তা বাবামা অন্যের মাথা গরমের ব্যপারে কুরুচিপূর্ণ কথা বলেঅবশ্যই মানুষিক সমস্যা পরের ভালো এতই চিন্তা করেনপরের কথা চিন্তা এতোটাই কষ্ট পানতাহলে দয়া যেকোন ফুট ওভার ব্রীজের ওপর রাস্তার ধারে যানসেখানে অসহায় বিকলাঙ্গ মানুষ তাদেরকে বাসায় যানখাওয়ানপরান আল্লাহ খুশী অসহায়কে সাহায্য নিসন্দেহে ভাল কাজএর আল্লাহ আপনাকে জান্নাত দিবেন ইনশাআল্লাহ পরকাল বিশ্বাস নাতাদেরকে কুরুচিপূর্ণ কথা বলেনিজের পরকাল নষ্ট বিশ্বাস অনুযায়ী করেনঅন্যের বিশ্বাসের হস্তক্ষেপ পরকালের কথা ভেবে ইহকালের শান্তি হারাম পরকালে তারাই ভাল থাকবেযারা ইহকালে ভাল করেছেনঅন্যকে কষ্ট,bully
85,ধর্ম বিশ্বাস জিনিসটা একটা অন্ধ বিশ্বাস এটার প্রমাণ ফ্যামিলিতে জন্মাইসেই ফ্যামিলির ধর্মের অনুসারী হই প্রাণে বিশ্বাস এমনটা বিশ্বাস জিনিসটা চিন্তা চায় অন্ধ করেআবার প্রত্যেকের একান্ত ব্যক্তিগত ব্যপার কারো ক্ষতি সমস্যা হওয়ার কথা নাতবে কারো কায্যক্রম মানুষের ক্ষতি হয়তবে ধর্ম জিনিসটা বিশ্বাসেরএটা চাপায়ে দেওয়ার জিনিস ব্যপারের কারো সমালোচনা উচিৎ ধর্ম মানুষের কর্মকে নিয়ন্ত্রণ বুঝতে ভাল কাজভাল আচরণ করেসে আসলেই ধার্মিক কাজকর্ম খারাপ আচরণ খারাপ অন্যের ব্যপারে কুরুচিপূর্ণ কথা বলেসে আসলে ধার্মিক নয়সে বকধার্মিক আসলে ধর্মের লেবাসে আস্ত একটা শয়তান কারো বিশ্বাসে আঘাত করেনিজের বিশ্বাস বাচুন মানুষের ভালসেই নিজেকে ব্যস্ত রাখুন অলস নাকারন অলস মস্তিষ্কে শয়তান ভর মানুষের বদনাম চেয়ে সুনাম করুন বন্ধুত্ব বৃদ্ধি পায়সমাজে উন্নয়ন হয়শা,bully
86,ভাইরা গালাগালি কোইরা ভদ্রভাবে বাশ এভাবে পচাইলে গালাগালি ধর্ম ভালো পরিচয় দিচ্ছিআখিরাত বিশ্বাস বুঝান ভালোভাবে গালাগালি নিজেরাইতো পাপের বোঝা বাড়াচ্ছি আপা ভালো হোনআপনি সেলিব্রটি কথা বুঝে শুনে আপনারা ডিজিটাল সেলিব্রেটি অতি আধুনিক আধুনিক হোইয়েন ধংস হয়ে,bully
87,পাডারফো পাডারা কথাটা একজন ভালোমানুষ বল্লেই পারতা,bully
88,আল্লাহ আজাবে পুরা পৃথিবীর মানুষ কাঁদে তোদের বেশ্যা গিরিতে মেতে আছোত রমজান মাস তোদের বেহায়া পোনা তোদের জন্ম পতিতালয়ে,bully
89,আল্লাহতে বিশ্বাসই আল্লাহর বিচার দিচ্ছেন কেনআপনি এভাবে বলছেন ভুল থাকিকেন সন্দিহান কাজটা ভুল জঘন্য ভুল করেছি ক্ষমা চাওয়াটা প্রকৃত চাওয়া জাস্ট ফেইম হারানোর ভয়ে ক্ষমা চাচ্ছেন আল্লাহ্ হিদায়াতের মালিক,bully
90,প্রশ্ন সাফা আপু বাবা বল জন্ম বিশ্বাস করোউত্তর সাফা বিশ্বাস দেখি বিশ্বাস সাফা বলছি একটা জারজ সন্তান,bully
91,ঘটনা পাছার ভিতর আইকাওলা বাঁশ দিয়ে গুলিসথানের মাথায়,bully
92,সিনেমার খবর ভোদা দেখায় বেড়াচ্ছে খানকি,bully
93,হিরো আলম ভাষা শুনে আবাল ছাবাল মিডিয়া দখল মানুষ চিনলেই যোগ্যতা লাগবে মানুষ হিরো দের শিক্ষা হিরো আলম অজ্ঞতার ভিউয়ার যেটা ইউটিউবে ইনকাম বাড়াই সামাজিক শিক্ষা সমাজের উচ্চতর টেনে যাইনা জাহেদ খান চিনলেও হিরো আলমের কখনো ছিলো হবেও ক্ষ্যেত ভিউ অশিক্ষিত পাব্লিকের হাসি মস্করার হিরো নাম থাকলেও মুলত মিডিয়া তে যোগ্যতা লাগে নে মানুষ চিনলো হিসাব দেশের বড় বড় প্রডিউসার রা পিছুনে ঘুরতো,bully
94,ম্যনেজারের ক্ষমতা মালিকের বিরুদ্ধে ব্যবস্থা নেওয়ার ড তুহিন মালিক স্যারযাহা প্রমাণিত,bully
95,আজকে জয়েন করেছো,bully
96,বাঙ্গালী ১টা জিনিস পাইলে কচলাইয়া তিতা ক্ষান্ত সাফা কবিরের মত ২ টাকার অভিনেত্রীরা চায়ই আলোচনায় আসতে মানুষ আলোচনা সমালোচনার ঝড় তুলবে সুযোগে ভাল প্রচার পাবে নাটকের অফার দিগুণ গানে মডেলিং,bully
97,দালালের বাচ্চারা টিক টক ভিডিও দেখসনা কার কন্ঠ কার লগে কার মাথা কার বুকে যায় ফাওলজালিমের দালাল কোথাকার জানি হেনকার,bully
98,বাংলাদেশে সকল অপকর্ম সংঘটিত কুরাজনীতির বলয়ে বলয়ের সুবিধাবাদী গোষ্ঠি সেটিকে চালিয়ে দেয় ধর্মীয় মোড়কে অসাম্প্রদায়িক বাংলাদেশকে সুবিধাবাদী ধান্ধাবাজ গোষ্ঠিই সাম্প্রদায়িকতার আবরণ দিচ্ছে বিশ্ব জুড়ে আখেরে ক্ষতিটা কার নিশ্চয়ই আমজনতার সুবিধাবাদী গোষ্ঠির পুরো পরিবার বাস ইউরোপআমেরিকা হাল আমলে মালয়েশিয়ায় বিষয়টি মানুষকেই ভালভাবে অনুধাবনে কেননা এদেশই আমজনতার শেষ ঠিকানা,bully
99,একটা পাঠা দরকার পাঠার চো ন জরুরি হয়ে,bully
100,একদম ফ্রি হয়ে কুকুর বিরাল গরু ছাগল সাথে আকাম কুকাম পারবে আরে নাস্তিক মরে দেখ পাপের শাস্থি ভয়ংকর,bully
101,আল্লাহ মাফ মালিক,bully
102,একলা কেনো আপু কাকা কই,bully
103,মুর্খ তুই নিঃশ্বাস নিস দেখিস নাক দিয়ে নিঃশ্বাস নাক অাটকিয়ে রাখবি পরকাল পরকালের মালিক অনুভাব পারবি,bully
104,পুটকি যাই পরি,bully
105,নিরাপদ সড়ক চেয়ে ছেলে মেয়েরা পুলিশকে উদ্দেশ্য অশ্লীল স্লোগান দিতো পুলিশ চে ল যেটা অত্যন্ত অশ্লীল ছাত্রছাত্রীদের মুখে শোভা পায়না আজকে অশ্লীল স্লোগানটি ইচ্ছে প্রিয়া সাহা ওরফে মাসুদা ভট্টি গংদের উদ্দেশ্য,bully
106,জানালা খোলা জানি,bully
107,ফেইসবুক হ্যাক দেখিনাই কনো কিভাবে বিশ্বাস,bully
108,আল্লাহ্ মুসলিমদের আল্লাহ্ তোদের আল্লাহ্ তুই খানকি আল্লাহর কেমনে বিচার দেস তুই আল্লাহ্ বিশ্বাস করস তুই পরকাল বিশ্বাস করস,bully
109,তুই শর্টপ্যন্ট খুলে ছবি দে,bully
110,কথাই একমত তাছাড়া বেশ্যা পারতনা,bully
111,মীর মুহাম্মাদ ফয়সাল দুধের স্বাদ ঘোলে মিটাও,bully
112,মাগি নাস্তি হয়ে গেলি,bully
113,তর মুখে মুতি মাগী,bully
114,বাহির হ মাগী দেশ তর গোষ্ঠী চুদি বেশ্যা মাগীর বাচ্চা মাগী,bully
115,নায়লা নাইম ফলো করতেছ ছুট আপু,bully
116,চুদির ভাই মিশা দেশে বাস হিরো আলমকে চিনেনা,bully
117,অপরাধী ক্ষমার মালিক আল্লাহ,bully
118,একটা গালি দিয়ে পারলাম আরে মূর্খ মাগী ১৯৪৭ সালে বাংলাদেশ সময় ব্রিটিশদের রাজত্ব ১৯৪৮১৯৭১ পাকিস্তান সরকার বাংলাদেশ স্বাধীন হওয়ার প্রত্যেক রাজনৈতিক দল তোদেরকে ভোটে টানার জামাই আদরে রেখেছে আওয়ামীলীগ সরকার আসার তোদেরকে সবচাইতে সুবিধা দিয়েছে বাংলাদেশে চারটি বিচ্ছিন্ন ঘটনা ছাড়া উল্লেখ যোগ্য ঘটনা ঘটে পাশ্ববর্তী দেশ ইন্ডিয়াতে তোর দাদারা মুসলমান মেরে ফেলতেছে তোর ট্রাম্প বাবাকে বললি বাংলাদেশের বিরুদ্ধে মিথ্যাচার করলি,bully
119,তোর মাকে চুদি,bully
120,নেকামি চদাও ভুল থাকি অই নটি ভুল ত করচস ভুল থাকি,bully
121,অচোদা মাল দিয়ে এগুলো আলোর,bully
122,শব্দটা করলেও পারতেন সবখানে বোঝায় ভুলটা বুঝতে পারছেন নাহ অনুতপ্ত ফেসবুকে হয়ে সকল ক্ষমতার মালিক সত্যি ভুল বুঝে আল্লাহ আপনাকে হেদায়েত দান করুন,bully
123,সাফা কবির ফেসবুক পেজ ক্ষমা চেয়েছে,bully
